id,source,pdf_page,table,original_detail_numbers,class_text,description,requirements,image,status
ntc-129-t02-d01-04,ntc,129,C4.2.XIV,4,112,"Saldature senza piatto di sostegno
1) Giunti trasversali in piatti e lamiere
2) Giunti di anime e piattabande in travi
composte eseguiti prima dell'assemblaggio
3) Giunti trasversali completi di profili laminati,
in assenza di lunette di scarico
4)
Giunti trasversali di lamiere e piatti con
rastremazioni in larghezza e spessore con
pendenza non mag-giore di 1:4. Nelle
zone di transi-zione gli intagli nelle
saldature devono essere eliminati
Per spessori t>25 mm, si deve adot-tare una
classe ridotta del coefficiente
k = (25/t)0,2","Saldature effettuate da entrambi i lati, molate in|
direzione degli sforzi e sottoposte a controlli non
distruttivi
Le saldature devono essere iniziate e terminate su
tacchi d'estremità, da rimuovere una voltal
completata la saldatura
I bordi esterni delle saldature devono essere
molati in direzione degli sforzi
3) Vale solo per profilati tagliati e risaldati",assets/details/ntc-129-t02-d01-04.png,extracted_not_engineering_validated
ntc-129-t02-d02-01,ntc,129,C4.2.XIV,5,90,"Saldature senza piatto di sostegno
5) Giunti trasversali in piatti e lamiere
6)
Giunti trasversali completi di profili laminati,
in assenza di lunette di scarico
Giunti trasversali di lamiere e piatti con
7)
rastremazioni in larghezza e spessore con
pendenza non maggiore di 1:4.
Nelle zone di transizione gli intagli nelle
saldature devono essere eliminati
Per spessori t>25 mm, si deve adot-tare una
classe ridotta del coefficiente
ks = (25/t)0,2","Saldature effettuate da entrambi i lati e sottoposte
a controlli non distruttivi
Sovraspessore di saldatura non maggiore del
10% della larghezza del cordone, con zone di
transizione regolari
Le saldature devono essere iniziate e terminate
su tacchi d’estremità, da rimuovere una volta
completata la saldatura
I bordi esterni delle saldature devono essere
molati in dire-zione degli sforzi
Le saldature dei dettagli 5) e 7) devono essere
eseguite in piano",assets/details/ntc-129-t02-d02-01.png,extracted_not_engineering_validated
ntc-129-t02-d02-02,ntc,129,C4.2.XIV,6,90,"Saldature senza piatto di sostegno
5) Giunti trasversali in piatti e lamiere
6)
Giunti trasversali completi di profili laminati,
in assenza di lunette di scarico
Giunti trasversali di lamiere e piatti con
7)
rastremazioni in larghezza e spessore con
pendenza non maggiore di 1:4.
Nelle zone di transizione gli intagli nelle
saldature devono essere eliminati
Per spessori t>25 mm, si deve adot-tare una
classe ridotta del coefficiente
ks = (25/t)0,2","Saldature effettuate da entrambi i lati e sottoposte
a controlli non distruttivi
Sovraspessore di saldatura non maggiore del
10% della larghezza del cordone, con zone di
transizione regolari
Le saldature devono essere iniziate e terminate
su tacchi d’estremità, da rimuovere una volta
completata la saldatura
I bordi esterni delle saldature devono essere
molati in dire-zione degli sforzi
Le saldature dei dettagli 5) e 7) devono essere
eseguite in piano",assets/details/ntc-129-t02-d02-02.png,extracted_not_engineering_validated
ntc-129-t02-d02-03,ntc,129,C4.2.XIV,7,90,"Saldature senza piatto di sostegno
5) Giunti trasversali in piatti e lamiere
6)
Giunti trasversali completi di profili laminati,
in assenza di lunette di scarico
Giunti trasversali di lamiere e piatti con
7)
rastremazioni in larghezza e spessore con
pendenza non maggiore di 1:4.
Nelle zone di transizione gli intagli nelle
saldature devono essere eliminati
Per spessori t>25 mm, si deve adot-tare una
classe ridotta del coefficiente
ks = (25/t)0,2","Saldature effettuate da entrambi i lati e sottoposte
a controlli non distruttivi
Sovraspessore di saldatura non maggiore del
10% della larghezza del cordone, con zone di
transizione regolari
Le saldature devono essere iniziate e terminate
su tacchi d’estremità, da rimuovere una volta
completata la saldatura
I bordi esterni delle saldature devono essere
molati in dire-zione degli sforzi
Le saldature dei dettagli 5) e 7) devono essere
eseguite in piano",assets/details/ntc-129-t02-d02-03.png,extracted_not_engineering_validated
ntc-129-t02-d03-01,ntc,129,C4.2.XIV,9,80,"Saldature senza piatto di sostegno
(6
Giunti trasversali in travi com-poste, in
assenza di lunette di scarico
10) Giunti trasversali completi di profili
laminati, in presenza di lunette di scarico
11) Giunti trasversali di lamiere, piatti, profilati
e travi composte
Per spessori t>25 mm, si deve adot-tare una
classe ridotta del coefficiente
ks = (25/t)0,2","Saldature effettuate da entrambi i lati, non molate
e sottoposte a controlli non distruttivi.
Le saldature devono essere iniziate e terminate
su tacchi d’estremità, da rimuovere una volta
completata la saldatura
I bordi esterni delle saldature devono essere
molati in direzione degli sforzi
Sovraspessore di saldatura non maggiore del
20% della larghezza del cordone, per i dettagli 9)
e 11), o del 10% per il dettaglio 10, con zoñe di
transizione regolari",assets/details/ntc-129-t02-d03-01.png,extracted_not_engineering_validated
ntc-129-t02-d03-02,ntc,129,C4.2.XIV,10,80,"Saldature senza piatto di sostegno
(6
Giunti trasversali in travi com-poste, in
assenza di lunette di scarico
10) Giunti trasversali completi di profili
laminati, in presenza di lunette di scarico
11) Giunti trasversali di lamiere, piatti, profilati
e travi composte
Per spessori t>25 mm, si deve adot-tare una
classe ridotta del coefficiente
ks = (25/t)0,2","Saldature effettuate da entrambi i lati, non molate
e sottoposte a controlli non distruttivi.
Le saldature devono essere iniziate e terminate
su tacchi d’estremità, da rimuovere una volta
completata la saldatura
I bordi esterni delle saldature devono essere
molati in direzione degli sforzi
Sovraspessore di saldatura non maggiore del
20% della larghezza del cordone, per i dettagli 9)
e 11), o del 10% per il dettaglio 10, con zoñe di
transizione regolari",assets/details/ntc-129-t02-d03-02.png,extracted_not_engineering_validated
ntc-129-t02-d03-03,ntc,129,C4.2.XIV,11,80,"Saldature senza piatto di sostegno
(6
Giunti trasversali in travi com-poste, in
assenza di lunette di scarico
10) Giunti trasversali completi di profili
laminati, in presenza di lunette di scarico
11) Giunti trasversali di lamiere, piatti, profilati
e travi composte
Per spessori t>25 mm, si deve adot-tare una
classe ridotta del coefficiente
ks = (25/t)0,2","Saldature effettuate da entrambi i lati, non molate
e sottoposte a controlli non distruttivi.
Le saldature devono essere iniziate e terminate
su tacchi d’estremità, da rimuovere una volta
completata la saldatura
I bordi esterni delle saldature devono essere
molati in direzione degli sforzi
Sovraspessore di saldatura non maggiore del
20% della larghezza del cordone, per i dettagli 9)
e 11), o del 10% per il dettaglio 10, con zoñe di
transizione regolari",assets/details/ntc-129-t02-d03-03.png,extracted_not_engineering_validated
ntc-129-t02-d04,ntc,129,C4.2.XIV,8,90,"8) Come il dettaglio 3), ma con lunette di
scarico
Per spessori t>25 mm, si deve adot-tare una
classe ridotta del coefficiente
k = (25/t)0,.2","Saldature effettuate da entrambi i lati, molate in
direzione degli sforzi e sottoposte a controlli non
distruttivi.
Le saldature devono essere iniziate e terminate
su tacchi d'estremità, da rimuovere una volta
completata la saldatura
I bordi esterni delle saldature devono essere
molati in direzione degli sforzi
I profili laminati devono avere le stesse
dimensioni, senza differenze dovute a tolleranze",assets/details/ntc-129-t02-d04.png,extracted_not_engineering_validated
ntc-130-t01-d01,ntc,130,PDF-130-T1,12,63,"12)
Giunti trasversali completi di profili
laminati, in assenza di lunette di scarico","Saldature effettuate da entrambi i lati
Le saldature devono essere iniziate e terminate
su tacchi d'estremità, da rimuovere una volta
completata la saldatura
I bordi esterni delle saldature devono essere
molati in direzione degli sforzi",assets/details/ntc-130-t01-d01.png,extracted_not_engineering_validated
ntc-130-t01-d02,ntc,130,PDF-130-T1,13,"71
(36)","13) Giunti trasversali a piena penetrazione
eseguiti da un solo lato, con piena
penetrazione
controllata
mediante
opportuni controlli non distruttivi.
Per spessori t>25 mm, si deve adot-tare una
classe ridotta del coefficiente
k = (25/t)0,2
In assenza di controlli, si deve adottare la
classe 36, per qualsiasi valore di t","Saldature senza piatto di sostegno
Le saldature devono essere iniziate e terminate su
tacchi d'estremità, da rimuovere una voltal
completata la saldatura
I bordi esterni delle saldature devono essere
molati in direzione degli sforzi",assets/details/ntc-130-t01-d02.png,extracted_not_engineering_validated
ntc-130-t01-d03,ntc,130,PDF-130-T1,16,50,"16)
Saldature
su piatto di sostegno
permanente
con rastremazioni in
larghezza e spessore con pendenza non
maggiore di 1:4.
Vale anche per lamiere curve
Per spessori t>25 mm, si deve adottare una
classe ridotta del coefficiente
ks = (25/t)0,2","Da adottarsi quando i cordoni d'angolo chel
fissano il piatto di sostegno terminano a meno dil
10 mm dai bordi dell'elemento o quando non può
essere garantito un buon accoppiamento",assets/details/ntc-130-t01-d03.png,extracted_not_engineering_validated
ntc-130-t01-d04,ntc,130,PDF-130-T1,17,71,"17)
Saldature trasversali
piena
penetrazione tra elementi di spessore
differente con assi allineati
Per spessori t1>25 mm si deve adottare una
classe ridotta del coefficiente
ks = (25/t1)0,2","Nel caso di disassamento la classe deve essere
ridotta con il coefficiente
6e
kse
1+
1,5
t1
da combinare, eventualmente, con ks, quando
t1>25 mm",assets/details/ntc-130-t01-d04.png,extracted_not_engineering_validated
ntc-130-t01-d05-01,ntc,130,PDF-130-T1,14,71,"Saldature su piatto di sostegno
14) Giunti trasversali in piatti e lamiere
15) Giunti trasversali di lamiere e piatti con
rastremazioni in larghezza e spessore
con pendenza non maggiore di 1:4.
Vale anche per lamiere curve
Per spessori t>25 mm, si deve adot-tare una
classe ridotta del coefficiente
ks = (25/t)0,2","I cordoni d’angolo che fissano il piatto di sostegno
devono terminare a più di 10 mm dai bordil
dell'elemento e devono essere interni allal
saldatura di testa",assets/details/ntc-130-t01-d05-01.png,extracted_not_engineering_validated
ntc-130-t01-d05-02,ntc,130,PDF-130-T1,15,71,"Saldature su piatto di sostegno
14) Giunti trasversali in piatti e lamiere
15) Giunti trasversali di lamiere e piatti con
rastremazioni in larghezza e spessore
con pendenza non maggiore di 1:4.
Vale anche per lamiere curve
Per spessori t>25 mm, si deve adot-tare una
classe ridotta del coefficiente
ks = (25/t)0,2","I cordoni d’angolo che fissano il piatto di sostegno
devono terminare a più di 10 mm dai bordil
dell'elemento e devono essere interni allal
saldatura di testa",assets/details/ntc-130-t01-d05-02.png,extracted_not_engineering_validated
ntc-130-t02-d01,ntc,130,C4.2.XV,1,"80 (a)
71 (b)
63 (c)
56 (d)","Attacchi saldati longitudinali
1) La classe del dettaglio dipende dalla
lunghezza dell'attacco
(a) L ≤ 50 mm
(b) 50 < L ≤ 80 mm
(c) 80 < L ≤ 100 mm
(d) L > 100 mm","Spessore dell'attacco minore della sua altezza. In
caso contrario vedi dettagli 5 e 6",assets/details/ntc-130-t02-d01.png,extracted_not_engineering_validated
ntc-130-t02-d02,ntc,130,C4.2.XV,2,71,"2) Attacchi saldati longitudinali a piatti o tubi
con L>100 m e α<45°",,assets/details/ntc-130-t02-d02.png,extracted_not_engineering_validated
ntc-130-t02-d03,ntc,130,C4.2.XV,3,80,"3) Fazzoletti d'attacco saldati a piatti o tubi
con cordoni d'angolo longitudinali e dotati
di raccordo di transizione terminale di
raggio r.
La parte terminale dei cordoni deve essere
rinforzata, cioè a piena penetrazione, per una
lunghezza maggiore di r.
r>150 mm","Raccordo di transizione di raggio r realizzato con
taglio meccanico o a gas realizzato prima dellal
saldatura del faz-zoletto. Al termine della salda-
tura, la parte terminale deve essere molata in
direzione della freccia per eliminare completa-
mente la punta della saldatura",assets/details/ntc-130-t02-d03.png,extracted_not_engineering_validated
ntc-131-t01-d01,ntc,131,PDF-131-T1,9,80,"9) Effetto della saldatura del piolo sul
materiale base della piastra",,assets/details/ntc-131-t01-d01.png,extracted_not_engineering_validated
ntc-131-t01-d02,ntc,131,PDF-131-T1,4,"90 (a)
71 (b)
50 (c)","4) Fazzoletti d’attacco saldati a un lato di un
piatto o della piattabanda di una trave e
dotati di raccordo di transizione di raggio r.
La lunghezza L deve essere valutata come
per i dettagli 1), 2) e 3).
La stessa classificazione può essere adottata
anche per piattabande saldate dotate di
raccordo di transizione di raggio r.
(a) r ≥ L/3 o r >150 mm
(b) L/3 >r ≥ L/6
(c) r < L/6","Raccordo di transizione di raggio r realizzato con
taglio meccanico o a gas realizzato prima della
saldatura del fazzoletto. Al termine della saldatura,
la parte terminale deve essere molata in direzione
deila freccia per eliminare completamente la puntal
della saldatura",assets/details/ntc-131-t01-d02.png,extracted_not_engineering_validated
ntc-131-t01-d03,ntc,131,PDF-131-T1,5,40,"5) Come saldato,
senza
raccordo
di
transizione",,assets/details/ntc-131-t01-d03.png,extracted_not_engineering_validated
ntc-131-t01-d04-01,ntc,131,PDF-131-T1,6,"80 (a)
71 (b)","Attacchi trasversali
6) Saldati a una piastra
7) Nervature verticali saldate a un profilo o a
una trave composta
8) Diagrammi di travi a cassone composte,
saldati all'anima o alla piattabanda
(a) l≤ 50 mm
(b) 50< l≤ 80 mm
Le classi sono valide anche per nervature
anulari","6) e 7) Le parti terminali delle saldature devono
essere molate accuratamente per eliminare tutte
le rientranze presenti
7) Se la nervatura termina nell'anima, ∆σ deve
essere calcolato usando le tensioni principali",assets/details/ntc-131-t01-d04-01.png,extracted_not_engineering_validated
ntc-131-t01-d04-02,ntc,131,PDF-131-T1,7,"80 (a)
71 (b)","Attacchi trasversali
6) Saldati a una piastra
7) Nervature verticali saldate a un profilo o a
una trave composta
8) Diagrammi di travi a cassone composte,
saldati all'anima o alla piattabanda
(a) l≤ 50 mm
(b) 50< l≤ 80 mm
Le classi sono valide anche per nervature
anulari","6) e 7) Le parti terminali delle saldature devono
essere molate accuratamente per eliminare tutte
le rientranze presenti
7) Se la nervatura termina nell'anima, ∆σ deve
essere calcolato usando le tensioni principali",assets/details/ntc-131-t01-d04-02.png,extracted_not_engineering_validated
ntc-131-t01-d04-03,ntc,131,PDF-131-T1,8,"80 (a)
71 (b)","Attacchi trasversali
6) Saldati a una piastra
7) Nervature verticali saldate a un profilo o a
una trave composta
8) Diagrammi di travi a cassone composte,
saldati all'anima o alla piattabanda
(a) l≤ 50 mm
(b) 50< l≤ 80 mm
Le classi sono valide anche per nervature
anulari","6) e 7) Le parti terminali delle saldature devono
essere molate accuratamente per eliminare tutte
le rientranze presenti
7) Se la nervatura termina nell'anima, ∆σ deve
essere calcolato usando le tensioni principali",assets/details/ntc-131-t01-d04-03.png,extracted_not_engineering_validated
